2.956643991	0
3.254195011	1
3.698888889	1
4.072380952	1
4.443650794	1
4.815079365	1
5.196099773	1
5.603673469	1
5.959909297	0
6.238798186	1
6.629637188	1
7.009954649	2
7.198911565	2
7.380136054	2
7.558095238	1
7.745850340	1
8.103401361	1
8.433287982	1
8.835374150	1
9.501950113	1
9.918163265	1
10.284013605	1
10.669387755	1
11.007346939	1
11.382857143	1
11.731655329	1
11.906938776	4
12.074557823	4
12.289410431	4
12.470861678	4
12.636371882	4
12.810634921	4
12.971541950	4
13.215464853	1
13.392539683	1
13.699478458	1
13.980521542	1
14.297324263	1
14.645238095	1
15.015487528	1
15.354807256	1
15.736485261	1
16.118594104	1
16.490657596	1
16.850362812	1
17.257959184	1
17.614829932	0
17.818095238	0
18.011473923	0
18.202471655	0
18.377392290	0
18.571043084	0
18.752154195	0
18.958367347	2
19.221224490	2
19.444603175	2
19.653650794	2
19.814353741	2
19.986281179	2
20.168299320	2
20.325827664	2
20.535419501	2
20.744217687	1
20.927777778	1
21.104467120	1
21.283877551	1
21.466281179	1
21.636371882	1
21.799705215	2
22.021224490	2
22.349954649	2
22.531609977	2
22.690612245	2
22.861972789	2
23.033061224	2
23.211360544	2
23.417777778	1
23.601496599	1
23.780839002	1
23.974149660	1
24.168185941	1
24.363446712	1
24.536984127	1
24.738888889	2
24.944988662	2
25.124897959	2
25.297188209	2
25.481156463	2
25.671791383	2
25.860249433	2
26.030136054	2
26.205056689	2
26.387120181	1
26.553832200	1
26.737868481	1
26.924557823	1
27.103219955	1
27.276099773	1
27.447233560	1
27.628662132	1
27.825487528	1
28.010657596	2
28.196417234	2
28.384943311	2
28.556916100	2
28.738435374	2
28.905555556	2
29.108684807	2
29.284829932	0
29.474353741	0
29.660090703	0
29.843650794	0
30.042947846	0
30.222040816	0
